pip_value estimasi: 9.0 (override dengan --pipval)

Backtest: USDJPY | step=4 | trail=OFF
CSV: ../data/USDJPY_GMT+0_NO-DST_M15.csv
  139,666 candle M15 | 2020-01-01 22:00:00 s/d 2025-08-11 23:45:00
Estimasi 34,854 iterasi sinyal. Ini mungkin butuh beberapa menit...

Resampling ke H4 dan D1... H4=9,025 bars | D1=1,750 bars
    0.8% | bar=1,334/139,666 | trades=10 | equity=$1,039.29 | ETA=16.5min
   96.4% | bar=134,578/139,666 | trades=2070 | equity=$5,164.51 | ETA=0.6min
   96.4% | bar=134,582/139,666 | trades=2070 | equity=$5,164.51 | ETA=0.6min
   96.4% | bar=134,586/139,666 | trades=2070 | equity=$5,164.51 | ETA=0.6min
   96.7% | bar=135,090/139,666 | trades=2080 | equity=$5,183.02 | ETA=0.5min
   97.2% | bar=135,778/139,666 | trades=2090 | equity=$5,172.64 | ETA=0.4min
   97.7% | bar=136,514/139,666 | trades=2100 | equity=$5,185.35 | ETA=0.4min
   97.7% | bar=136,526/139,666 | trades=2100 | equity=$5,185.35 | ETA=0.4min
   97.8% | bar=136,538/139,666 | trades=2100 | equity=$5,185.35 | ETA=0.3min
   98.2% | bar=137,090/139,666 | trades=2110 | equity=$5,204.13 | ETA=0.3min
   98.2% | bar=137,178/139,666 | trades=2110 | equity=$5,204.13 | ETA=0.3min
   98.2% | bar=137,186/139,666 | trades=2110 | equity=$5,204.13 | ETA=0.3min
   98.2% | bar=137,190/139,666 | trades=2110 | equity=$5,204.13 | ETA=0.3min
   98.2% | bar=137,194/139,666 | trades=2110 | equity=$5,204.13 | ETA=0.3min
   98.2% | bar=137,198/139,666 | trades=2110 | equity=$5,204.13 | ETA=0.3min
   98.2% | bar=137,202/139,666 | trades=2110 | equity=$5,204.13 | ETA=0.3min
   98.2% | bar=137,210/139,666 | trades=2110 | equity=$5,204.13 | ETA=0.3min
   98.2% | bar=137,214/139,666 | trades=2110 | equity=$5,204.13 | ETA=0.3min
   98.2% | bar=137,222/139,666 | trades=2110 | equity=$5,204.13 | ETA=0.3min
   98.2% | bar=137,226/139,666 | trades=2110 | equity=$5,204.13 | ETA=0.3min
   98.3% | bar=137,250/139,666 | trades=2110 | equity=$5,204.13 | ETA=0.3min
   98.7% | bar=137,866/139,666 | trades=2120 | equity=$5,255.11 | ETA=0.2min
   98.7% | bar=137,870/139,666 | trades=2120 | equity=$5,255.11 | ETA=0.2min
   98.7% | bar=137,874/139,666 | trades=2120 | equity=$5,255.11 | ETA=0.2min
   98.7% | bar=137,878/139,666 | trades=2120 | equity=$5,255.11 | ETA=0.2min
   98.7% | bar=137,906/139,666 | trades=2120 | equity=$5,255.11 | ETA=0.2min
   98.7% | bar=137,910/139,666 | trades=2120 | equity=$5,255.11 | ETA=0.2min
   98.8% | bar=137,958/139,666 | trades=2120 | equity=$5,255.11 | ETA=0.2min
   99.1% | bar=138,426/139,666 | trades=2130 | equity=$5,244.43 | ETA=0.1min
   99.1% | bar=138,430/139,666 | trades=2130 | equity=$5,244.43 | ETA=0.1min
   99.1% | bar=138,434/139,666 | trades=2130 | equity=$5,244.43 | ETA=0.1min
   99.1% | bar=138,438/139,666 | trades=2130 | equity=$5,244.43 | ETA=0.1min
   99.5% | bar=138,954/139,666 | trades=2140 | equity=$5,254.24 | ETA=0.1min
   99.5% | bar=138,958/139,666 | trades=2140 | equity=$5,254.24 | ETA=0.1min
   99.5% | bar=138,966/139,666 | trades=2140 | equity=$5,254.24 | ETA=0.1min
  100.0% | bar=139,602/139,666 | trades=2150 | equity=$5,184.66 | ETA=0.0min

  Selesai dalam 15.5 menit | 2153 trades [circuit breaker DINONAKTIFKAN]

==============================================================
  BACKTEST REPORT  USDJPY  (5 tahun, no circuit breaker)
==============================================================
  Initial equity    : $1,000.00
  Final equity      : $5,164.89
  Total return      : +416.49%
  Max drawdown      : 22.01%
--------------------------------------------------------------
  Total trades      : 2153
  Win / BE / Loss   : 884 / 1 / 1268
  Win rate          : 41.1%
  Avg win           : +0.783%
  Avg loss          : -0.412%
  Profit factor     : 1.32
  Order types       : {'LIMIT': 1520, 'MARKET': 633}
  Close reasons     : {'sl': 1268, 'tp': 884, 'end_of_data': 1}
==============================================================

  STRATEGI          #  WIN    WR%    PF    AvgW%   AvgL%  Verdict
  --------------------------------------------------------------
  FVG            1520  636  41.8%  1.42   +0.79%  -0.40%  OK
  EMA_TREND       633  248  39.2%  1.12   +0.75%  -0.43%  OK

  Last 10 trades:
  #    Strategy       Dir         Open      Close     PnL%  Reason
  --------------------------------------------------------------
  1    FVG            SELL     147.517    147.610  -0.193%  sl
  2    FVG            BUY      147.679    147.567  -0.192%  sl
  3    FVG            SELL     147.201    147.281  -0.193%  sl
  4    FVG            BUY      147.417    147.333  -0.190%  sl
  5    FVG            SELL     147.040    146.787  +0.394%  tp
  6    EMA_TREND      SELL     146.856    147.219  -0.188%  sl
  7    FVG            SELL     147.516    147.571  -0.191%  sl
  8    FVG            SELL     147.506    147.592  -0.194%  sl
  9    FVG            BUY      148.060    148.000  -0.188%  sl
  10   FVG            BUY      148.126    148.149  +0.086%  end_of_data

  Trade log: C:\laragon\www\ea-project\backend\logs\backtest_USDJPY.json
